hyperparameter,hp_value,seed,dataset,model,accuracy,demographic_parity_ratio,intervention_rate
max_deviation,0.2,62,adult,xgboost,0.8324888684170121,1.0060572896478868,0.07477352986335022
lambda_cap,1.0,62,adult,xgboost,0.8389375095961922,0.9878529261056593,0.07047443574389682
lambda_cap,2.0,62,adult,xgboost,0.839705204974666,0.9907636737407847,0.07154920927376017
lambda_cap,3.0,62,adult,xgboost,0.839091048671887,0.9919844435207466,0.07093505297098111
lambda_cap,5.0,62,adult,xgboost,0.8380162751420236,0.9950715320379273,0.0713956701980654
lambda_cap,8.0,62,adult,xgboost,0.8393981268232765,0.9897721861933921,0.07124213112237064
lambda_cap,10.0,62,adult,xgboost,0.8393981268232765,0.9897721861933921,0.07124213112237064
accuracy_floor,0.001,62,adult,xgboost,0.8381698142177184,0.9909207923358011,0.07093505297098111
accuracy_floor,0.01,62,adult,xgboost,0.8381698142177184,0.9909207923358011,0.07093505297098111
accuracy_floor,0.02,62,adult,xgboost,0.8380162751420236,0.9950715320379273,0.0713956701980654
accuracy_floor,0.05,62,adult,xgboost,0.8387839705204975,0.9868345210271998,0.07032089666820206
accuracy_floor,0.1,62,adult,xgboost,0.8401658222017504,0.9752059207160204,0.06986027944111776
accuracy_floor,0.2,62,adult,xgboost,0.8404729003531399,0.9640364970505012,0.07200982650084446
eta,0.01,62,compas,xgboost,0.6993957703927492,1.0044420250408275,0.10800604229607251
eta,0.05,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
eta,0.1,62,compas,xgboost,0.6895770392749244,1.0232872333624565,0.13670694864048338
eta,0.25,62,compas,xgboost,0.6808912386706949,1.0437158351174238,0.1491691842900302
eta,0.5,62,compas,xgboost,0.6797583081570997,1.0238119505669512,0.14350453172205438
eta,1.0,62,compas,xgboost,0.6827794561933535,1.01550515989298,0.14652567975830816
ema_alpha,0.05,62,compas,xgboost,0.6925981873111783,1.01271710722202,0.12386706948640483
ema_alpha,0.1,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
ema_alpha,0.2,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
ema_alpha,0.35,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
ema_alpha,0.5,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
ema_alpha,0.7,62,compas,xgboost,0.6959969788519638,1.0080313948374438,0.11895770392749244
ema_alpha,1.0,62,compas,xgboost,0.6948640483383686,1.0123487370609825,0.11933534743202417
warmup,5.0,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
warmup,15.0,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
warmup,30.0,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
warmup,50.0,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
warmup,100.0,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
warmup,200.0,62,compas,xgboost,0.6941087613293051,1.0073688444007507,0.12009063444108761
max_deviation,0.02,62,compas,xgboost,0.695619335347432,0.987001548006192,0.10347432024169184
max_deviation,0.05,62,compas,xgboost,0.6959969788519638,1.0048984564460333,0.11518126888217523
max_deviation,0.08,62,compas,xgboost,0.6959969788519638,1.0048732441658739,0.11895770392749244
max_deviation,0.12,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
max_deviation,0.15,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
max_deviation,0.2,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
lambda_cap,1.0,62,compas,xgboost,0.6948640483383686,1.0033035815162128,0.11706948640483383
lambda_cap,2.0,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
lambda_cap,3.0,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
lambda_cap,5.0,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
lambda_cap,8.0,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
lambda_cap,10.0,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
accuracy_floor,0.001,62,compas,xgboost,0.6933534743202417,1.0155284935746485,0.12235649546827794
accuracy_floor,0.01,62,compas,xgboost,0.6933534743202417,1.0155284935746485,0.12235649546827794
accuracy_floor,0.02,62,compas,xgboost,0.6937311178247734,1.005492924764995,0.1197129909365559
accuracy_floor,0.05,62,compas,xgboost,0.6918429003021148,1.0107518296739852,0.12235649546827794
accuracy_floor,0.1,62,compas,xgboost,0.6910876132930514,1.0167019641148582,0.1336858006042296
accuracy_floor,0.2,62,compas,xgboost,0.6891993957703928,1.013547769810469,0.131797583081571
